name,club_from,club_to
Hannes Wolf,RB Salzburg,RB Leipzig
Bruma,RB Leipzig,PSV Eindhoven
Marvelous Nakamba,Club Brugge,Aston Villa
Pedro Porro,Girona,Man City
Alex Kral,Slavia Prague,Spartak Moscow
Thierry Correia,Sporting CP,Valencia
Munas Dabbur,Sevilla FC,TSG Hoffenheim
Tino Kadewere,AC Le Havre,Olympique Lyon
Odion Ighalo,SH Shenhua,Man Utd
Ally Samatta,KRC Genk,Aston Villa
Benito Raman,F. Düsseldorf,FC Schalke 04
Álex Moreno,Rayo Vallecano,Real Betis
Téji Savanier,Nîmes Olympique,Montpellier
Jacob Bruun Larsen,Bor. Dortmund,TSG Hoffenheim
Ihlas Bebou,Hannover 96,TSG Hoffenheim
Chicharito,West Ham,Sevilla FC
Adem Ljajić,Torino,Besiktas
Ellyes Skhiri,Montpellier,1. FC Köln
Dyego Sousa,SC Braga,SZ FC
Aaron Mooy,Huddersfield,Brighton
Grégoire Defrel,AS Roma,Sassuolo
Harry Wilson,Liverpool,Bournemouth
André Schürrle,Bor. Dortmund,Spartak Moscow
Diego Laxalt,AC Milan,Torino
Max Kruse,Werder Bremen,Fenerbahce
William Saliba,Arsenal,Saint-Étienne
Danny Welbeck,Arsenal,Watford
Jürgen Locadia,Brighton,TSG Hoffenheim
Sergio Rico,Sevilla FC,Paris SG
Wesley Hoedt,Southampton,Royal Antwerp
Terence Kongolo,Huddersfield,Fulham
Victor Wanyama,Tottenham,Montreal
Ivan Cavaleiro,Wolves,Fulham
Zinho Vanheusden,Inter,Standard Liège
Fernando,Spartak Moscow,BJ Guoan
Albian Ajeti,FC Basel,West Ham
Noah Okafor,FC Basel,RB Salzburg
Lys Mousset,Bournemouth,Sheff Utd
Jack Clarke,Leeds,Tottenham
Luciano Vietto,Atlético Madrid,Sporting CP
Pedro Neto,SC Braga,Lazio
Matías Vargas,Vélez Sarsfield,Espanyol
Rémi Oudin,Stade Reims,G. Bordeaux
Yannick Bolasie,Everton,Sporting CP
Rodolfo Pizarro,Monterrey,Miami
Zé Luís,Spartak Moscow,FC Porto
Léo Duarte,Flamengo,AC Milan
Maximilian Wöber,Ajax,Sevilla FC
Denis Vavro,FC Copenhagen,Lazio
Maximilian Wöber,Sevilla FC,RB Salzburg
Brian Rodríguez,Peñarol,LAFC
Douglas Santos,Hamburger SV,Zenit S-Pb
Santiago Ascacíbar,VfB Stuttgart,Hertha BSC
Eddie Salcedo,Genoa,Inter
Strahinja Pavlovic,Partizan,Monaco
Jean Marcelin,AJ Auxerre,Monaco
Arthur Zagré,Paris SG,Monaco
Timo Baumgartl,VfB Stuttgart,PSV Eindhoven
Arthur Zagré,Paris SG,Monaco
Strahinja Pavlovic,Partizan,Monaco
Santiago Ascacíbar,VfB Stuttgart,Hertha BSC
Adrián Embarba,Rayo Vallecano,Espanyol
Jean Marcelin,AJ Auxerre,Monaco
Josh Brownhill,Bristol City,Burnley
Jay Rodríguez,West Brom,Burnley
Ola Aina,Chelsea,Torino
Kevin Mbabu,BSC Young Boys,VfL Wolfsburg
Leandro Cabrera,Getafe,Espanyol
Bobby De Cordova-Reid,Cardiff,Fulham
Rubén Peña,SD Eibar,Villarreal
Fernando Calero,Real Valladolid,Espanyol
Ritsu Doan,FC Groningen,PSV Eindhoven
Benjamin André,Rennes,LOSC Lille
Eduardo Salvio,Benfica,Boca Juniors
Kevin Trapp,Paris SG,E. Frankfurt
Rogério,Juventus,Sassuolo
Luiz Gustavo,Marseille,Fenerbahce
Ivan Cavaleiro,Wolves,Fulham
Gastón Pereiro,PSV Eindhoven,Cagliari Calcio
Tomas Soucek,Slavia Prague,West Ham
Marc Cucurella,SD Eibar,Barcelona
Guido Rodríguez,América,Real Betis
Sofyan Amrabat,Club Brugge,Hellas Verona
Matteo Darmian,Man Utd,Parma
Adam Ounas,SSC Napoli,OGC Nice
Marc Cucurella,Barcelona,SD Eibar
Nikola Kalinic,Atlético Madrid,AS Roma
Víctor Camarasa,Real Betis,Crystal Palace
Gerónimo Rulli,Real Sociedad,Montpellier
Jean-Clair Todibo,Barcelona,FC Schalke 04
Jony,Málaga CF,Lazio
Carles Pérez,Barcelona,AS Roma
Davie Selke,Hertha BSC,Werder Bremen
Henry Onyekuru,Monaco,Galatasaray
Kevin Vogt,TSG Hoffenheim,Werder Bremen
Ethan Ampadu,Chelsea,RB Leipzig
Mattia Perin,Juventus,Genoa
Andrea Pinamonti,Inter,Genoa
Marcelo Saracchi,RB Leipzig,Galatasaray
Ricardo Rodríguez,AC Milan,PSV Eindhoven
Jeison Murillo,Valencia,Sampdoria
Yann Karamoh,Inter,Parma
Marc Cucurella,Barcelona,Getafe
Jesús Vallejo,Real Madrid,Wolves
Bobby De Cordova-Reid,Cardiff,Fulham
Pedro Porro,Man City,Real Valladolid
